progan: 100.0
2025-03-19 11:21:03.448139
cyclegan: 99.76
2025-03-19 11:21:33.671275
biggan: 99.4
2025-03-19 11:22:03.902756
stylegan: 97.84
2025-03-19 11:22:34.266213
gaugan: 99.99
2025-03-19 11:23:04.374069
stargan: 99.35
2025-03-19 11:23:34.427710
deepfake: 84.91
2025-03-19 11:24:04.352485
sitd: 63.65
2025-03-19 11:25:08.594217
san: 79.45
2025-03-19 11:25:23.189848
crn: 94.76
2025-03-19 11:25:53.627752
imle: 98.07
2025-03-19 11:26:24.117279
guided: 87.05
2025-03-19 11:26:54.433078
ldm_200: 99.43
2025-03-19 11:27:24.263604
ldm_200_cfg: 93.21
2025-03-19 11:27:54.083946
ldm_100: 99.4
2025-03-19 11:28:24.045300
glide_100_27: 94.25
2025-03-19 11:28:53.890750
glide_50_27: 94.7
2025-03-19 11:29:23.869319
glide_100_10: 93.95
2025-03-19 11:29:53.862215
dalle: 97.94
2025-03-19 11:30:23.805287
