progan: 100.0
2025-03-19 12:27:07.225467
cyclegan: 99.81
2025-03-19 12:27:37.172810
biggan: 99.31
2025-03-19 12:28:07.178202
stylegan: 97.16
2025-03-19 12:28:37.241341
gaugan: 99.99
2025-03-19 12:29:07.274352
stargan: 99.35
2025-03-19 12:29:37.199084
deepfake: 82.05
2025-03-19 12:30:07.215841
sitd: 65.81
2025-03-19 12:31:11.232601
san: 82.15
2025-03-19 12:31:25.842992
crn: 96.39
2025-03-19 12:31:55.861689
imle: 98.42
2025-03-19 12:32:26.078298
guided: 87.64
2025-03-19 12:32:56.104288
ldm_200: 99.32
2025-03-19 12:33:25.936819
ldm_200_cfg: 92.51
2025-03-19 12:33:55.768934
ldm_100: 99.27
2025-03-19 12:34:25.706270
glide_100_27: 95.29
2025-03-19 12:34:55.626549
glide_50_27: 95.57
2025-03-19 12:35:25.514469
glide_100_10: 94.98
2025-03-19 12:35:55.474071
dalle: 97.47
2025-03-19 12:36:25.321544
