progan: 100.0
2025-03-19 14:00:40.095257
cyclegan: 99.8
2025-03-19 14:01:00.594561
biggan: 99.28
2025-03-19 14:01:21.343667
stylegan: 97.32
2025-03-19 14:01:41.769851
gaugan: 99.98
2025-03-19 14:02:02.259208
stargan: 99.01
2025-03-19 14:02:22.825589
deepfake: 82.24
2025-03-19 14:02:43.169723
sitd: 64.32
2025-03-19 14:03:48.080310
san: 80.46
2025-03-19 14:04:02.811630
crn: 92.26
2025-03-19 14:04:23.323896
imle: 97.51
2025-03-19 14:04:43.908702
guided: 86.49
2025-03-19 14:05:04.297293
ldm_200: 99.2
2025-03-19 14:05:24.495727
ldm_200_cfg: 91.71
2025-03-19 14:05:44.702087
ldm_100: 99.16
2025-03-19 14:06:04.888359
glide_100_27: 94.08
2025-03-19 14:06:25.109308
glide_50_27: 94.32
2025-03-19 14:06:45.263465
glide_100_10: 93.57
2025-03-19 14:07:05.484640
dalle: 97.27
2025-03-19 14:07:25.719124
