progan: 100.0
2025-03-19 13:36:09.977976
cyclegan: 99.8
2025-03-19 13:37:07.430443
biggan: 99.21
2025-03-19 13:38:05.716955
stylegan: 96.6
2025-03-19 13:39:02.858902
gaugan: 99.99
2025-03-19 13:40:00.132125
stargan: 98.95
2025-03-19 13:40:56.652525
deepfake: 85.72
2025-03-19 13:41:53.334357
sitd: 71.82
2025-03-19 13:43:02.483989
san: 81.64
2025-03-19 13:43:21.774198
crn: 93.32
2025-03-19 13:44:18.882967
imle: 97.45
2025-03-19 13:45:15.673817
guided: 86.67
2025-03-19 13:46:21.710969
ldm_200: 99.2
2025-03-19 13:48:23.616897
ldm_200_cfg: 92.79
2025-03-19 13:50:23.240873
ldm_100: 99.3
2025-03-19 13:52:24.220089
glide_100_27: 96.16
2025-03-19 13:54:22.926996
glide_50_27: 96.34
2025-03-19 13:56:18.117952
glide_100_10: 95.75
2025-03-19 13:57:38.152230
dalle: 97.79
2025-03-19 13:58:35.939076
