progan: 100.0
2025-03-19 13:08:07.772071
cyclegan: 99.86
2025-03-19 13:08:28.185061
biggan: 99.44
2025-03-19 13:08:48.688675
stylegan: 97.6
2025-03-19 13:09:09.468092
gaugan: 99.99
2025-03-19 13:09:30.063092
stargan: 99.48
2025-03-19 13:09:50.512072
deepfake: 90.44
2025-03-19 13:10:11.086033
sitd: 79.09
2025-03-19 13:11:16.712215
san: 91.04
2025-03-19 13:11:31.669653
crn: 91.56
2025-03-19 13:11:52.942426
imle: 97.92
2025-03-19 13:12:13.909423
guided: 90.6
2025-03-19 13:12:34.386319
ldm_200: 99.38
2025-03-19 13:12:55.012462
ldm_200_cfg: 92.08
2025-03-19 13:13:15.923663
ldm_100: 99.36
2025-03-19 13:13:36.345706
glide_100_27: 97.89
2025-03-19 13:13:57.258568
glide_50_27: 98.08
2025-03-19 13:14:17.816738
glide_100_10: 97.78
2025-03-19 13:14:38.326772
dalle: 96.46
2025-03-19 13:14:59.112279
